Passage1;Passage2;Passage3;Lizards;Cats;Holes;Orientation;Buildings;Vegetation;Sun;Weather1;Weather2;Weather3;Time1;Time2;Time3
0;1;0;1;1;2;336;50;10;sunny;cloud;1/2 sun;sun;14:33;12:00;15:25
3;2;4;9;1;5;334;30;10;sunny;1/2 sun;1/2 sun;sun;14:27;12:05;10:00
0;0;1;1;0;7;175;40;15;sunny;cloud;1/2 sun;sun;14:39;12:15;15:45
0;0;0;0;0;0;340;20;20;midday sun;cloud;1/2 sun;sun;14:41;12:20;15:55
0;0;0;0;0;1;250;10;5;afternoon sun;cloud;1/2 sun;sun;14:46;12:25;16:00
0;2;0;2;0;45;300;10;90;shaded;1/2 sun;1/2 sun;sun;12:35;14:15;16:05
1;0;1;2;0;3;190;70;5;sunny;1/2 sun;1/2 sun;sun;12:40;14:25;16:20
0;0;0;0;0;0;155;70;0;sunny;1/2 sun;1/2 sun;sun;12:45;14:36;16:40
0;0;0;0;0;4;330;80;20;shaded;1/2 sun;1/2 sun;sun ;12:50;14:43;10:50
0;0;0;0;0;1;25;10;90;morning sun;1/2 sun ;cloud;sun;12:55;16:10;11:15
0;0;0;0;0;5;50;50;30;morning sun;sun;sun;sun;14:28;15:25;15:15
0;0;0;0;0;13;45;20;10;morning sun;sun;sun;sun;14:25;15:30;15:20
0;0;1;1;0;11;350;30;20;shaded;sun;sun;sun ;14:24;15:37;15:30
0;0;0;0;0;28;0;70;5;shaded;sun;sun;sun;14:21;15:43;15:35
0;0;0;0;0;31;340;70;5;shaded;cloud;sun;sun;14:39;15:52;13:30
1;0;1;2;1;8;130;10;5;sunny;cloud;1/2 sun ;1/2 sun ;14:54;15:28;13:25
0;0;1;1;0;0;175;0;5;sunny;cloud;1/2 sun;1/2 sun;14:49;15:33;13:30
1;1;0;2;0;11;170;50;5;sunny;sun;1/2 sun;1/2 sun;14:48;15:45;13:35
1;0;0;1;0;5;290;70;10;shaded;sun;cloud;1/2 sun;14:45;15:30;13:40
0;0;0;0;0;0;255;10;0;afternoon sun;sun;cloud;1/2 sun ;15:20;16:22;13:45
0;0;1;1;0;2;330;70;5;shaded;sun;sun;sun;15:23;13:45;17:05
0;2;0;2;0;2;330;60;10;shaded;sun;sun;sun;15:10;13:50;12:05
1;0;0;1;0;8;60;90;5;shaded;sun;sun;sun;15:15;14:00;12:15
0;0;0;0;0;0;235;30;10;afternoon sun;cloud;sun;sun;14:06;14:05;16:20
0;0;0;0;0;0;340;40;15;shaded;cloud;sun;sun;14:09;13:30;16:25
0;0;0;0;0;10;60;0;5;morning sun;1/2 sun;sun;sun;13:55;14:25;16:10
0;0;0;0;0;4;150;0;5;midday sun;1/2 sun;sun;sun;14:00;14:30;15:55
1;0;0;1;0;3;150;10;30;afternoon sun;1/2 sun;sun;sun;14:05;14:35;16:00
0;0;0;0;0;5;240;60;30;afternoon sun;1/2 sun;sun ;sun;14:10;14:51;11:05
0;0;0;0;0;3;235;40;20;afternoon sun;1/2 sun;sun;sun;14:15;14:58;11:00
0;0;0;0;1;11;230;90;5;midday sun;cloud;sun;sun;15:51;15:06;13:05
0;0;0;0;0;10;320;90;10;afternoon sun;cloud;sun;sun;15:49;15:11;13:10
0;0;0;0;0;6;170;0;5;sunny;cloud;1/2 sun;sun;13:44;15:18;17:20
0;0;0;0;0;20;325;50;15;afternoon sun;cloud;cloud;sun;13:35;15:10;13:20
0;0;0;0;0;10;340;50;30;afternoon sun;sun;1/2 sun;sun;13:05;14:57;17:30
0;0;0;0;0;>50;160;40;5;midday sun;sun;sun;1/2 sun;13:12;15:02;13:00
2;2;0;4;0;6;140;10;10;midday sun;sun;sun;1/2 sun;13:52;11:35;13:05
0;1;0;1;0;5;240;60;70;afternoon sun;1/2 sun;sun;1/2 sun;14:05;11:45;13:10
0;0;0;0;0;9;320;20;30;shaded;cloud;sun;1/2 sun;14:06;11:52;13:15
0;0;1;1;0;>50;150;0;50;sunny;cloud;sun;1/2 sun;12:00;12:00;13:20
